playlist_url,year,track_id,track_name,track_popularity,album,artist_id,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
https://open.spotify.com/playlist/37i9dQZF1DXc6IFF23C9jj,2010,7BqBn9nzAq8spo5e7cZ0dJ,Just the Way You Are,86,Doo-Wops & Hooligans,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,"['dance pop', 'pop']",86,0.635,0.841,5,-5.379,1,0.0422,0.0134,0,0.0622,0.424,109.021,220734,4
https://open.spotify.com/playlist/37i9dQZF1DXc6IFF23C9jj,2010,15JINEqzVMv3SvJTAXAKED,Love The Way You Lie,85,Recovery,7dGJo4pcD2V6oG8kP0tJRR,Eminem,"['detroit hip hop', 'hip hop', 'rap']",88,0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,263373,4
https://open.spotify.com/playlist/37i9dQZF1DXc6IFF23C9jj,2010,4HlFJV71xXKIGcU3kRyttv,"Hey, Soul Sister",85,"Save Me, San Francisco (Golden Gate Edition)",3FUY2gzHeIiaesXtOAdB7A,Train,"['dance pop', 'neo mellow', 'pop', 'pop rock']",71,0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,216773,4
https://open.spotify.com/playlist/37i9dQZF1DXc6IFF23C9jj,2010,2GYHyAoLWpkxLVa4oYTVko,Alors on danse - Radio Edit,80,Cheese,5j4HeCoUlzhfWtjAfM1acR,Stromae,"['belgian pop', 'g-house']",69,0.791,0.59,1,-9.206,0,0.0793,0.0994,0.00203,0.065,0.714,119.951,206067,4
https://open.spotify.com/playlist/37i9dQZF1DXc6IFF23C9jj,2010,0HPD5WQqrq7wPWR7P7Dw1i,TiK ToK,84,Animal (Expanded Edition),6LqNN22kT3074XbTVUrhzX,Kesha,"['dance pop', 'pop']",74,0.755,0.837,2,-2.718,0,0.142,0.0991,0,0.289,0.714,120.028,199693,4
https://open.spotify.com/playlist/37i9dQZF1DXc6IFF23C9jj,2010,4dTaAiV9xFFCxnPur9c9yL,Memories (feat. Kid Cudi),70,One Love (Deluxe),1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,"['big room', 'dance pop', 'edm', 'pop', 'pop dance']",86,0.561,0.87,8,-6.103,1,0.343,0.0015,2.82E-06,0.246,0.498,129.98,210093,4
https://open.spotify.com/playlist/37i9dQZF1DXc6IFF23C9jj,2010,3ZdJffjzJWFimSQyxgGIxN,Just A Dream,77,5,2gBjLmx6zQnFGQJCAQpRgw,Nelly,"['dance pop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'st louis rap', 'urban contemporary']",73,0.531,0.752,1,-6.161,1,0.0305,0.0421,0,0.12,0.103,89.917,237800,4
https://open.spotify.com/playlist/37i9dQZF1DXc6IFF23C9jj,2010,3GBApU0NuzH4hKZq4NOSdA,What You Know,76,Tourist History,536BYVgOnRky0xjsPT96zl,Two Door Cinema Club,"['indie rock', 'indietronica', 'irish rock', 'modern alternative rock', 'modern rock', 'northern irish indie']",67,0.563,0.739,6,-4.239,0,0.0416,0.00073,1.45E-05,0.0822,0.775,139,191707,4
https://open.spotify.com/playlist/37i9dQZF1DXc6IFF23C9jj,2010,1bM50INir8voAkVoKuvEUI,OMG (feat. will.i.am),76,Raymond v Raymond (Expanded Edition),23zg3TcAtWQy7J6upgbUnj,USHER,"['atl hip hop', 'contemporary r&b', 'dance pop', 'pop', 'r&b', 'rap', 'south carolina hip hop', 'urban contemporary']",77,0.781,0.745,4,-5.81,0,0.0332,0.198,1.14E-05,0.36,0.326,129.998,269493,4
https://open.spotify.com/playlist/37i9dQZF1DXc6IFF23C9jj,2010,2M9ULmQwTaTGmAdXaXpfz5,Billionaire (feat. Bruno Mars),75,Billionaire (feat. Bruno Mars),7o9Nl7K1Al6NNAHX6jn6iG,Travie McCoy,['pop rap'],60,0.633,0.673,6,-6.403,0,0.258,0.297,0,0.206,0.659,86.776,211160,4
https://open.spotify.com/playlist/37i9dQZF1DXc6IFF23C9jj,2010,5jzKL4BDMClWqRguW5qZvh,Teenage Dream,76,Teenage Dream,6jJ0s89eD6GaHleKKya26X,Katy Perry,['pop'],82,0.719,0.798,10,-4.582,1,0.0361,0.0162,2.34E-06,0.134,0.591,120.011,227741,4
https://open.spotify.com/playlist/37i9dQZF1DXc6IFF23C9jj,2010,4TCL0qqKyqsMZml0G3M9IM,Telephone,75,The Fame Monster (Deluxe Edition),1HY2Jd0NmPuamShAr6KMms,Lady Gaga,"['art pop', 'dance pop', 'pop']",83,0.824,0.836,3,-5.903,1,0.0404,0.00521,0.000817,0.112,0.716,122.014,220640,4
